x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.24981799999999998,0.2416079375,0.21877225,0.22401775000000002,0.2184635625,0.22776756250000002,0.24386318750000002
0.5,0.11090313431155902,0.615,0.22218837500000002,0.2126816875,0.18374025,0.191536125,0.183558875,0.1963715625,0.2153000625
1.0,0.085621783445829,1.2770000000000001,0.1919281875,0.18110287500000002,0.14661018750000002,0.15657000000000001,0.14637987500000002,0.1624671875,0.184079875
1.5,0.066103540228622,1.994,0.159463125,0.1475513125,0.109005375,0.120654,0.10889681250000001,0.12717875,0.15083525
2.0,0.047223405554182,2.775,0.12567981250000002,0.11312006250000001,0.0736534375,0.08561,0.07353725,0.09219318750000001,0.11657181250000001
2.5,0.032874104593189,3.634,0.0921669375,0.0797724375,0.04363625,0.0540908125,0.043437750000000004,0.060162375000000004,0.0830981875
3.0,0.022300500321347002,4.587,0.0611419375,0.0499750625,0.021514250000000002,0.029081812500000002,0.021390812500000002,0.033703,0.05288325
3.5,0.013998045980139002,5.657,0.035099375,0.0263545,0.0082285,0.0124689375,0.008201,0.01519675,0.0285921875
4.0,0.008562178344582,6.878,0.0163171875,0.0108125,0.00224375,0.0038605625000000003,0.0022296250000000003,0.0050375625,0.0121351875
4.5,0.004973123145824001,8.3,0.00557325,0.0030440625000000003,0.0003834375,0.0007488125,0.0003805625,0.001066125,0.00360375
5.0,0.002814739464453,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
5.5,0.0015524271734340001,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
6.0,0.0008343500851560001,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
6.5,0.000460173227651,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
7.0,0.000206351077787,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
7.5,9.495724149488018e-05,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
8.0,4.149325720214718e-05,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
8.6,1e-05,10.0,0.0011979375,0.0004751875,3.58125e-05,7.431250000000001e-05,3.51875e-05,0.00011925,0.0006238750000000001
