x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.23419187500000002,0.234220375,0.21619825,0.21843818750000002,0.2158375,0.2221971875,0.2328416875
0.5,0.11090313431155902,0.615,0.20417537500000002,0.20387731250000002,0.180249,0.18430037500000002,0.1797305625,0.189272,0.20222375
1.0,0.085621783445829,1.2770000000000001,0.1714614375,0.1710636875,0.14235662500000001,0.1480439375,0.1418416875,0.1540021875,0.169108125
1.5,0.066103540228622,1.994,0.1371495,0.13655075,0.1043133125,0.111236,0.1039906875,0.11769193750000001,0.13429475
2.0,0.047223405554182,2.775,0.1024904375,0.1016984375,0.0690826875,0.0761913125,0.06889925,0.082539125,0.09957031250000001
2.5,0.032874104593189,3.634,0.0697926875,0.0689425,0.0397160625,0.04590875,0.0397721875,0.0513114375,0.066880375
3.0,0.022300500321347002,4.587,0.0415914375,0.0408256875,0.018869375,0.0231506875,0.018999375000000002,0.026941125000000003,0.0392005
3.5,0.013998045980139002,5.657,0.0204248125,0.01982025,0.0068700625,0.0090963125,0.0070291875,0.0111205,0.0188520625
4.0,0.008562178344582,6.878,0.007537312500000001,0.0072415,0.001778375,0.0025062500000000002,0.0018369999999999999,0.0032819375,0.0067896250000000005
4.5,0.004973123145824001,8.3,0.0018325625,0.0017336875,0.0002949375,0.00042625000000000003,0.00031512500000000003,0.0006165,0.001608875
5.0,0.002814739464453,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
5.5,0.0015524271734340001,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
6.0,0.0008343500851560001,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
6.5,0.000460173227651,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
7.0,0.000206351077787,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
7.5,9.495724149488018e-05,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
8.0,4.149325720214718e-05,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
8.6,1e-05,10.0,0.00023325,0.0002246875,2.3562500000000004e-05,3.7312500000000006e-05,3.1125e-05,6.643750000000001e-05,0.000204625
