es_no_db,ber
0.0,0.13998045980139504
0.5,0.11090313431155939
1.0,0.08562178344582902
1.5,0.06610354022862211
2.0,0.047223405554182446
2.5,0.032874104593189374
3.0,0.022300500321347907
3.5,0.013998045980139498
4.0,0.008562178344582902
4.5,0.0049731231458243815
5.0,0.002814739464453597
5.5,0.0015524271734347938
6.0,0.0008343500851569783
6.5,0.00046017322765138014
7.0,0.0002063510777876421
7.5,0.00009495724149488018
8.0,0.00004149325720214717
8.6,0.00001
