x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.485125,0.46362499999999995,0.26975000000000005,0.30325,0.262125,0.361,0.478875
0.5,0.11090313431155902,0.615,0.48575,0.46212499999999995,0.24562499999999998,0.28825,0.24,0.35212499999999997,0.475375
1.0,0.085621783445829,1.2770000000000001,0.48375,0.45775000000000005,0.220125,0.26925000000000004,0.21537499999999998,0.3435,0.47762499999999997
1.5,0.066103540228622,1.994,0.48212499999999997,0.455,0.18825000000000003,0.24912499999999999,0.188375,0.330875,0.47950000000000004
2.0,0.047223405554182,2.775,0.482375,0.45225000000000004,0.15525,0.22375,0.15775,0.3215,0.47712499999999997
2.5,0.032874104593189,3.634,0.48112499999999997,0.44987499999999997,0.12775,0.199125,0.1255,0.3075,0.47562499999999996
3.0,0.022300500321347002,4.587,0.479875,0.44625000000000004,0.092375,0.17400000000000002,0.091375,0.295,0.47875000000000006
3.5,0.013998045980139002,5.657,0.47700000000000004,0.445125,0.063375,0.14825000000000002,0.063625,0.28350000000000003,0.47825000000000006
4.0,0.008562178344582,6.878,0.476375,0.44075000000000003,0.040125,0.122,0.041374999999999995,0.270125,0.47900000000000004
4.5,0.004973123145824001,8.3,0.47462499999999996,0.43787499999999996,0.02125,0.10025,0.023,0.25787499999999997,0.48062499999999997
5.0,0.002814739464453,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
5.5,0.0015524271734340001,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
6.0,0.0008343500851560001,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
6.5,0.000460173227651,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
7.0,0.000206351077787,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
7.5,9.495724149488018e-05,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
8.0,4.149325720214718e-05,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
8.6,1e-05,10.0,0.47212499999999996,0.4345,0.009375,0.0795,0.011750000000000002,0.24525000000000002,0.47950000000000004
