x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.12299505200127701,0.0,0.130355625,0.12602000000000002,0.125091375,0.12446099999999999,0.125408875,0.125208375,0.1288795
0.5,0.09744600632908401,0.6151980448358361,0.10117237500000001,0.096924,0.09592112500000001,0.09520575,0.096058375,0.095884125,0.099692625
1.0,0.075232326871217,1.2773130026738682,0.0732415,0.06915,0.068178375,0.06745962500000001,0.06822299999999999,0.06828012500000001,0.071816375
1.5,0.056599030064577005,1.994096128130466,0.048089,0.0444675,0.0437125,0.043079125,0.043689125,0.043854,0.04678675
2.0,0.040433522039347004,2.775393958003867,0.02754175,0.0248285,0.024380375000000003,0.02389425,0.024311875,0.024420625,0.026631875000000003
2.5,0.028147394644535,3.633978951957732,0.013002375,0.011248375000000001,0.011075375,0.010779125,0.011009875,0.011129875000000001,0.012384875
3.0,0.018606424342159002,4.5868374895000645,0.00460475,0.003732875,0.0036976250000000004,0.003512625,0.0036676250000000003,0.003729375,0.0042788750000000006
3.5,0.011679270855560002,5.657255233000498,0.0010494999999999999,0.00075675,0.00076525,0.0006991250000000001,0.000752375,0.000759,0.0009343750000000001
4.0,0.006783606914108,6.878377020609685,0.00011012500000000001,6.375e-05,6.0125000000000005e-05,5.6750000000000004e-05,6.525000000000001e-05,6.6375e-05,8.7e-05
4.5,0.0035527266826240003,8.299701720649995,4.1249999999999995e-06,2.125e-06,1.75e-06,1.2499999999999999e-06,1.625e-06,1.625e-06,3.1249999999999997e-06
5.0,0.0016777185295670002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0007331089800440001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.000320345020425,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.00012952677443500002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,4.3696780307570616e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1.3640536771754911e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
