x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.171131,0.16135237500000002,0.15087175,0.14661237500000002,0.150445125,0.147660125,0.1699905
0.5,0.11090313431155902,0.6151980448358361,0.13776812500000002,0.127855875,0.116138875,0.112565125,0.11580762500000001,0.11394625,0.136591125
1.0,0.085621783445829,1.2773130026738682,0.10435237500000001,0.09477175,0.082982625,0.08043249999999999,0.0827885,0.0818535,0.1031175
1.5,0.066103540228622,1.994096128130466,0.07267125,0.064129375,0.053706375,0.0519815,0.053791375,0.053086125000000005,0.071517625
2.0,0.047223405554182,2.775393958003867,0.045010125000000005,0.038221625,0.030581499999999998,0.029430875000000002,0.030696750000000002,0.03025575,0.044056625
2.5,0.032874104593189,3.633978951957732,0.023635125,0.019118375,0.014616375000000001,0.013972125,0.01475475,0.0144035,0.022979625
3.0,0.022300500321347002,4.5868374895000645,0.009826999999999999,0.007525625,0.00568775,0.00528325,0.005748375,0.005476125,0.009488625
3.5,0.013998045980139002,5.657255233000498,0.0029291250000000003,0.00215725,0.00169375,0.0015373750000000001,0.001757625,0.0015818750000000002,0.0028315
4.0,0.008562178344582,6.878377020609685,0.00054725,0.000399,0.0003785,0.00030825,0.00038475,0.00032399999999999996,0.000528625
4.5,0.004973123145824001,8.299701720649995,5.225e-05,3.7875000000000006e-05,5.225e-05,2.5750000000000002e-05,5.225e-05,3.2000000000000005e-05,5.05e-05
5.0,0.002814739464453,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
5.5,0.0015524271734340001,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
6.0,0.0008343500851560001,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
6.5,0.000460173227651,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
7.0,0.000206351077787,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
7.5,9.495724149488018e-05,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
8.0,4.149325720214718e-05,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
8.6,1e-05,10.0,2.4999999999999998e-06,1e-06,3.25e-06,1.375e-06,2.625e-06,1.625e-06,1e-06
