x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.1705980625,0.161801875,0.150864,0.14643,0.1504824375,0.1474079375,0.16954049999999998
0.5,0.11090313431155902,0.615,0.13735775,0.1281356875,0.1160956875,0.11254937500000001,0.11597199999999999,0.11382262500000001,0.136166125
1.0,0.085621783445829,1.2770000000000001,0.10393275,0.09489768750000001,0.083025125,0.08033325,0.08291749999999999,0.0815658125,0.10280412500000001
1.5,0.066103540228622,1.994,0.072336,0.0642528125,0.053697625000000006,0.0518835,0.0535983125,0.052889687500000004,0.07126575
2.0,0.047223405554182,2.775,0.0447208125,0.0382994375,0.030523625000000002,0.0293101875,0.0304394375,0.030030625000000002,0.043832750000000004
2.5,0.032874104593189,3.634,0.023387875000000002,0.0191171875,0.014644375000000001,0.013853875000000002,0.014601875,0.014252187500000001,0.022792875
3.0,0.022300500321347002,4.587,0.0096983125,0.007493062500000001,0.0057171875,0.0052238125,0.0056399375,0.005369062500000001,0.0093809375
3.5,0.013998045980139002,5.657,0.0028936875,0.0021229375000000003,0.001737625,0.0015104375,0.001692,0.0015406875,0.0027586250000000002
4.0,0.008562178344582,6.878,0.000549125,0.00040131250000000003,0.0003954375,0.000307625,0.0003630625,0.0003108125,0.000529625
4.5,0.004973123145824001,8.3,5.5062500000000003e-05,4.15625e-05,5.606250000000001e-05,3.6125000000000004e-05,5.25e-05,3.4500000000000005e-05,5.3750000000000005e-05
5.0,0.002814739464453,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
5.5,0.0015524271734340001,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
6.0,0.0008343500851560001,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
6.5,0.000460173227651,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
7.0,0.000206351077787,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
7.5,9.495724149488018e-05,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
8.0,4.149325720214718e-05,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
8.6,1e-05,10.0,1.5624999999999999e-06,1e-06,3.9375e-06,1.125e-06,2.75e-06,8.125e-07,1.625e-06
