x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.12299505200127701,0.0,0.1323636875,0.127661625,0.1251026875,0.12433912500000001,0.1251796875,0.12462337500000001,0.13069587500000002
0.5,0.09744600632908401,0.615,0.10317931250000001,0.0983895625,0.09569743750000001,0.0950711875,0.0957463125,0.09532412500000001,0.10149693750000001
1.0,0.075232326871217,1.2770000000000001,0.0751935625,0.0704793125,0.0680431875,0.067331125,0.0679415625,0.06762575,0.0735583125
1.5,0.056599030064577005,1.994,0.0499430625,0.045760625000000006,0.043628375000000004,0.0431326875,0.0435925,0.043290812500000005,0.048485999999999994
2.0,0.040433522039347004,2.775,0.029176062500000002,0.025834812500000002,0.024280687500000002,0.023872499999999998,0.024238937500000002,0.023994375000000002,0.0279508125
2.5,0.028147394644535,3.634,0.014246,0.011901812500000001,0.0109898125,0.010753812500000001,0.010946625000000001,0.010793375000000001,0.01339475
3.0,0.018606424342159002,4.587,0.0053340625,0.0040558125,0.0036746250000000004,0.0035400625000000002,0.0036480625000000003,0.0035383125000000002,0.0049095625
3.5,0.011679270855560002,5.657,0.0013663750000000002,0.00085775,0.000749375,0.0007059375000000001,0.00074025,0.0007029375,0.0012123750000000001
4.0,0.006783606914108,6.878,0.0002021875,8.112500000000002e-05,6.6875e-05,6.0187500000000006e-05,6.68125e-05,5.83125e-05,0.00016187500000000002
4.5,0.0035527266826240003,8.3,1.4812500000000003e-05,2e-06,1.375e-06,1.1874999999999999e-06,1.4375e-06,1.3125e-06,1.1000000000000001e-05
5.0,0.0016777185295670002,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
5.5,0.0007331089800440001,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
6.0,0.000320345020425,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
6.5,0.00012952677443500002,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
7.0,4.3696780307570616e-05,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
7.5,1.3640536771754911e-05,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
7.6,1e-05,10.0,5e-07,0.0,0.0,0.0,0.0,0.0,3.1249999999999997e-07
