x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.139980459801395,0.0,0.24934312500000003,0.24221587500000002,0.21872225,0.22320475,0.21888675,0.228709875,0.24259912500000003
0.5,0.11090313431155902,0.615,0.221623125,0.213254625,0.18377975,0.19038037500000002,0.18400425,0.19739025000000002,0.21401575
1.0,0.085621783445829,1.2770000000000001,0.19118949999999998,0.181630375,0.146739375,0.155217,0.14698487500000001,0.163530125,0.182784875
1.5,0.066103540228622,1.994,0.158567875,0.148092875,0.109377625,0.11911725000000001,0.1095625,0.128217875,0.149495375
2.0,0.047223405554182,2.775,0.12468575,0.113627875,0.074104875,0.08401675,0.07413525,0.09328212500000001,0.115206875
2.5,0.032874104593189,3.634,0.09100649999999999,0.080248625,0.044017375000000004,0.05260525,0.043929499999999996,0.061103125,0.08201599999999999
3.0,0.022300500321347002,4.587,0.059918875,0.050354625,0.021793625,0.027980125,0.021814375,0.03446275,0.052001
3.5,0.013998045980139002,5.657,0.033995,0.026716875,0.008417125000000001,0.011752125,0.00847075,0.015664125,0.027989125
4.0,0.008562178344582,6.878,0.015602375000000002,0.01104775,0.00228175,0.0035405,0.0023606250000000003,0.005313625000000001,0.011871
4.5,0.004973123145824001,8.3,0.0051905,0.0031704999999999997,0.000381625,0.000678375,0.00043375,0.001169375,0.00347425
5.0,0.002814739464453,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
5.5,0.0015524271734340001,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
6.0,0.0008343500851560001,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
6.5,0.000460173227651,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
7.0,0.000206351077787,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
7.5,9.495724149488018e-05,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
8.0,4.149325720214718e-05,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
8.6,1e-05,10.0,0.001103625,0.0005052500000000001,2.9875e-05,7.087500000000002e-05,4.25e-05,0.0001405,0.00057525
