x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.12299505200127701,0.0,0.133171125,0.13060725,0.125768,0.12589425,0.126199125,0.1275275,0.13129749999999998
0.5,0.09744600632908401,0.615,0.10404000000000001,0.10140562500000001,0.096449875,0.096639875,0.09686275,0.09824125,0.101952625
1.0,0.075232326871217,1.2770000000000001,0.07607187500000001,0.0734065,0.06862725,0.068827,0.069073375,0.07019462500000001,0.0738905
1.5,0.056599030064577005,1.994,0.05066325,0.048333375000000005,0.044061125,0.044185875,0.04433625,0.045218625000000005,0.0486515
2.0,0.040433522039347004,2.775,0.0298035,0.027981125000000003,0.024548999999999998,0.024566499999999998,0.02475175,0.025307875,0.028095125000000002
2.5,0.028147394644535,3.634,0.01475725,0.013499625000000001,0.011131875000000001,0.011143875000000001,0.011297125,0.011489125000000001,0.013455375
3.0,0.018606424342159002,4.587,0.00572775,0.005016375,0.0036906250000000003,0.0036792500000000002,0.00379275,0.00385125,0.00493925
3.5,0.011679270855560002,5.657,0.001564875,0.001291875,0.00075975,0.000739375,0.0007794999999999999,0.0007871250000000001,0.0012235
4.0,0.006783606914108,6.878,0.00025762500000000004,0.00018625,6.6375e-05,6.225e-05,7.25e-05,6.825e-05,0.00017475
4.5,0.0035527266826240003,8.3,2e-05,1.6000000000000003e-05,1.8749999999999998e-06,1.75e-06,1.2499999999999999e-06,1.625e-06,1.2375000000000001e-05
5.0,0.0016777185295670002,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
5.5,0.0007331089800440001,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
6.0,0.000320345020425,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
6.5,0.00012952677443500002,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
7.0,4.3696780307570616e-05,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
7.5,1.3640536771754911e-05,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
7.6,1e-05,10.0,1e-06,8.75e-07,0.0,0.0,0.0,0.0,7.5e-07
