x_MAP,y_MAP,x_NN,y_Adadelta,y_Adagrad,y_Adam,y_Adamax,y_Nadam,y_RMSprop,y_SGD
0.0,0.12299505200127701,0.0,0.13037737500000002,0.12620962500000002,0.125407125,0.12447537500000001,0.12514325,0.125222625,0.128833375
0.5,0.09744600632908401,0.615,0.10129075,0.09707,0.09608612500000001,0.095244625,0.09589025,0.095987875,0.0996845
1.0,0.075232326871217,1.2770000000000001,0.07327512500000001,0.06935425,0.068316125,0.06762275,0.06818312500000001,0.06816649999999999,0.071750375
1.5,0.056599030064577005,1.994,0.048118875000000005,0.044702875,0.04378175,0.043188,0.043679875,0.04370025,0.04677725
2.0,0.040433522039347004,2.775,0.0276235,0.025013875,0.02438425,0.023957125000000003,0.02430775,0.02438825,0.026490875
2.5,0.028147394644535,3.634,0.0130875,0.011353625000000001,0.011089625,0.010789,0.0110425,0.0110905,0.01231925
3.0,0.018606424342159002,4.587,0.004631375,0.0037886250000000003,0.00369425,0.0035355,0.0036532500000000002,0.003690375,0.004245625
3.5,0.011679270855560002,5.657,0.0010509999999999999,0.00078075,0.0007614999999999999,0.000710625,0.000761625,0.00075375,0.0009218750000000001
4.0,0.006783606914108,6.878,0.000113875,6.562500000000001e-05,7.087500000000002e-05,6.0375000000000004e-05,6.8125e-05,6.3625e-05,8.875e-05
4.5,0.0035527266826240003,8.3,4.25e-06,1.2499999999999999e-06,1.625e-06,1.75e-06,2e-06,2e-06,2.625e-06
5.0,0.0016777185295670002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0007331089800440001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.000320345020425,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.00012952677443500002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,4.3696780307570616e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1.3640536771754911e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1e-05,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
